1,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is in the blanket,target,10203010,F2_Preposition_sentence_1,,M3_Preposition_sentence_1,,,5,1,1,0
,,Foil 1,on the blanket,foil 1,30182797,,,,,,,,,
,,Foil 2,under the blanket,foil 2,35281393,,,,,,,,,
,,Foil 3,by the blanket,foil 3,69546235,,,,,,,,,
,,Other,blanket,other,30970388,,,,,,,,,
,,Other,dog,other,17161279,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is in the bed,target,23267043,F2_Preposition_sentence_2,,,,,5,1,1,
,,Foil 1,on the bed,foil 1,24813255,,,,,,,,,
,,Foil 2,under the bed,foil 2,42172919,,,,,,,,,
,,Foil 3,by the bed,foil 3,94578602,,,,,,,,,
,,Other,dog,other,17161279,,,,,,,,,
,,Other,bed,other,33724414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the bird is in the tree,target,92161054,F2_Preposition_sentence_3,,M3_Preposition_sentence_3,,,5,1,1,
,,Foil 1,between the trees,foil 1,659865421,,,,,,,,,
,,Foil 2,on the tree,foil 2,36970893,,,,,,,,,
,,Foil 3,under the tree,foil 3,29762175,,,,,,,,,
,,Other,bird,other,33965083,,,,,,,,,
,,Other,tree,other,69106532,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the man is in the bed,target,52087934,F2_Preposition_sentence_4,,,,,5,1,1,
,,Foil 1,on the bed,foil 1,53507634,,,,,,,,,
,,Foil 2,under the bed,foil 2,51622749,,,,,,,,,
,,Foil 3,by the bed,foil 3,44123146,,,,,,,,,
,,Other,man,other,36971928,,,,,,,,,
,,Other,bed,other,33724414,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the baby is in the blanket,target,228668269,F2_Preposition_sentence_5,,M3_Preposition_sentence_5,,,5,1,1,
,,Foil 1,on the blanket,foil 1,72004771,,,,,,,,,
,,Foil 2,under the blanket,foil 2,37433095,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,baby,other,130223957,,,,,,,,,
,,Other,blanket,other,215048935,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the dog is in the box,target,207075325,F2_Preposition_sentence_6,,M3_Preposition_sentence_6,,,5,1,1,
,,Foil 1,by the box,foil 1,275646770,,,,,,,,,
,,Foil 2,on the box,foil 2,152951474,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,dog,other,38095165,,,,,,,,,
,,Other,box,other,20645333,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the bird is in the feeder,target,138011693,F2_Preposition_sentence_7,,M3_Preposition_sentence_7,,,5,1,1,
,,Foil 1,by the feeder,foil 1,288763802,,,,,,,,,
,,Foil 2,under the feeder,foil 2,47824540,,,,,,,,,
,,Foil 3,x,foil 3,345908708,,,,,,,,,
,,Other,bird,other,33965083,,,,,,,,,
,,Other,feeder,other,229248175,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the mouse is in the crop,target,88928725,F2_Preposition_sentence_8,,M3_Preposition_sentence_8,,,5,1,1,
,,Foil 1,between the crop,foil 1,286191647,,,,,,,,,
,,Foil 2,under the crop,foil 2,34487284,,,,,,,,,
,,Foil 3,on the crop,foil 3,294080735,,,,,,,,,
,,Other,mouse,other,38857743,,,,,,,,,
,,Other,crop,other,86288593,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
,,Target,the child is in the furniture,target,123163021,F2_Preposition_sentence_9,,M3_Preposition_sentence_9,,,5,1,1,
,,Foil 1,under the furniture,foil 1,310485866,,,,,,,,,
,,Foil 2,above the furniture,foil 2,168286901,,,,,,,,,
,,Foil 3,x,x,x,,,,,,,,,
,,Other,child,other,40214306,,,,,,,,,
,,Other,furniture,other,33723657,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,in,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 3,,,Freq bin,Conc bin,Syllable,
