1,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,run,target,she runs,target,100144160,,F2_Pronoun_personal_1,,,M2_Pronoun_personal_1,8,7,1,0
,,Foil 1,he runs,male,98478128,,,,,,,,,
,,Foil 2,they run,plural,41851632,,,,,,,,,
,,Other,running shoes,un,39355348,,,,,,,,,
,,Other,water bottle,un,12522351,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,lick,target,she licks,target,103353431,F1_Pronoun_personal_2,,,M3_Pronoun_personal_2,,6,8,1,
,,foil 1,he licks,male,47401462,,,,,,,,,
,,foil 2,they lick,plural,14525412,,,,,,,,,
,,other,mouth,un,16776497,,,,,,,,,
,,other,icecream,un,115520299,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,cycle,Target,she cycles,target,164236085,F1_Pronoun_personal_3,,,M3_Pronoun_personal_3,,5,7,2,
,,Foil 1,he cycles,male,34482521,,,,,,,,,
,,Foil 2,they cycle,plural,141946663,,,,,,,,,
,,Other,bike,un,325745795,,,,,,,,,
,,Other,helmet,un,53790160,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,wrap,target,she wraps up,target,125317343,F1_Pronoun_personal_4,,,M3_Pronoun_personal_4,,7,7,1,
,,foil 1,he wraps up,male,28666396,,,,,,,,,
,,foil 2,they wrap up,plural,330397961,,,,,,,,,
,,other,hat and gloves,un,29252820,,,,,,,,,
,,other,hat and gloves,un,169576079,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,stand,Target,she stands,target,33119890,,F2_Pronoun_personal_5,,,M2_Pronoun_personal_5,8,7,1,
,,Foil 1,he stands,male,29524403,,,,,,,,,
,,Foil 2,they stand,plural,5045122,,,,,,,,,
,,Other,shoes,un,100100117,,,,,,,,,
,,Other,foot,un,700001,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,collect,Target,she collects,target,26764473,F1_Pronoun_personal_6,,,M3_Pronoun_personal_6,,7,5,2,
,,Foil 1,he collects,male,210744133,,,,,,,,,
,,Foil 2,they collects,plural,102603500,,,,,,,,,
,,Other,mushrooms,un,220721464,,,,,,,,,
,,Other,basket,un,11339844,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,play,Target,she plays,target,917512,F1_Pronoun_personal_7,,,M3_Pronoun_personal_7,,8,5,1,
,,Foil 1,he plays,male,282933527,,,,,,,,,
,,Foil 2,they play,plural,18281970,,,,,,,,,
,,Other,instrument,un,16517374,,,,,,,,,
,,Other,microphone,un,556925,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,eat,Target,she eats,target,240210358,F1_Pronoun_personal_8,,,M3_Pronoun_personal_8,,8,7,1,
,,Foil 1,he eats,male,322932869,,,,,,,,,
,,Foil 2,they eat,plural,207120154,,,,,,,,,
,,Other,food,un,1684878,,,,,,,,,
,,Other,cutlery,un,279902690,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,fly,Target,she flies,target,31684154,F1_Pronoun_personal_9,,,M3_Pronoun_personal_9,,8,8,1,
,,Foil 1,he flies,male,30873232,,,,,,,,,
,,Foil 2,they fly,plural,200810882,,,,,,,,,
,,Other,fly,un,275672639,,,,,,,,,
,,Other,plane,un,119845582,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,ride,Target,she rides,target,27169607,F1_Pronoun_personal_10,,,M3_Pronoun_personal_10,,3,6,1,
,,Foil 1,he rides,male,26646892,,,,,,,,,
,,Foil 2,they ride,plural,95194951,,,,,,,,,
,,Other,bike,un,325745795,,,,,,,,,
,,Other,helmet,un,53790160,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,jump,Target,she jumps,target,705655,F1_Pronoun_personal_11,,,M3_Pronoun_personal_11,,6,8,1,
,,Foil 1,he jumps,male,185622278,,,,,,,,,
,,Foil 2,they jump,plural,57416071,,,,,,,,,
,,Other,trampoline,un,216671602,,,,,,,,,
,,Other,frog,un,20407314,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
12,she,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,Male 2,Freq bin,Conc bin,Syllable,
,smile,Target,she smiles,target,25247848,F1_Pronoun_personal_12,,,M3_Pronoun_personal_12,,6,7,2,
,,Foil 1,he smiles,male,35314865,,,,,,,,,
