2,slice,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,He slices the boy some bread,target,286407695,,M2_Verb_ditransitive_2,,F2_Verb_ditransitive_2,,5,6,2,0
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,He breaks the boy some bread,coord,19579305,,,,,,,,,
,,S2,He bakes the boy some bread,assoc,49245224,,,,,,,,,
,,Un,He butters the boy some bread,assoc,46162896,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
3,knit,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,He knits the boy a scarf,target,230200804,,M2_Verb_ditransitive_3,,F2_Verb_ditransitive_3,,5,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,He sews the boy a scarf,coord,268502327,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,he gives the boy a scarf,un,263555909,,,,,,,,,
,,Un,He irons the boy a scarf,un,306279242,,,,,,,,,
,,,,,,,,,,,,,,
4,handwrite,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,He handwrites the woman a letter,target,13298068,,M2_Verb_ditransitive_4,,F2_Verb_ditransitive_4,,1,6,2,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,X,X,X,,,,,,,,,
,,S1,He sends the woman a letter,assoc,47105947,,,,,,,,,
,,S2,He reads the woman a letter,assoc,1373819,,,,,,,,,
,,Un,He types the woman a letter,coord,27573228,,,,,,,,,
,,Un,He gives the woman a letter,un,38099847,,,,,,,,,
,,,,,,,,,,,,,,
5,crochet,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,she crochets the baby a blanket,target,44062958,,M2_Verb_ditransitive_5,,F2_Verb_ditransitive_5,,2,7,2,
,,P1,x,X,x,,,,,,,,,
,,P2,x,X,x,,,,,,,,,
,,P3,she knits the baby a blanket,coord,31344477,,,,,,,,,
,,S1,she sews the baby a blanket,coord,10320684,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,she buys the baby a blanket,un,29930957,,,,,,,,,
,,Un,she gives the baby a blanket,un,5943342,,,,,,,,,
,,,,,,,,,,,,,,
6,pick,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the man picks him a flower,target,14259763,,M2_Verb_ditransitive_6,,F2_Verb_ditransitive_6,,8,5,1,
,,P1,The man knicks him a flower,mp,8153444,,,,,,,,,
,,P2,The man pins him a flower,mp,26429246,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The man gives him  the flowers,un,14259837,,,,,,,,,
,,Un,The man delivers him the flowers,un,7557675,,,,,,,,,
,,,,,,,,,,,,,,
7,sell,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the man sells her some flowers,target,20887431,,M2_Verb_ditransitive_7,,F2_Verb_ditransitive_7,,8,4,1,
,,P1,the man sends her some flowers,distant,7557675,,,,,,,,,
,,P2,the man steals her some flowers,distant,8153444,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the man buys her some flowers,coord,29061223,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man paints her some flowers,un,27722535,,,,,,,,,
,,Un,the man gives her some flowers,un,14306443,,,,,,,,,
,,,,,,,,,,,,,,
9,plant,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,She plants the boy a tree,target,24244065,,M2_Verb_ditransitive_9,,F2_Verb_ditransitive_9,,6,5,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,She saws the boy a tree,un,25888349,,,,,,,,,
,,S2,She (chain) saws the boy a tree,un,11701016,,,,,,,,,
,,Un,She trims the boy a tree,un,32425432,,,,,,,,,
,,Un,She decorates the boy a tree,un,22001085,,,,,,,,,
,,,,,,,,,,,,,,
10,make,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,santa makes the child a gift,target,10907459,,M2_Verb_ditransitive_10,,F2_Verb_ditransitive_10,,8,3,1,
,,P1,santa bakes the child a gift,mp,46778909,,,,,,,,,
,,P2,santa takes the child a gift,mp,21278380,,,,,,,,,
,,P3,santa paints the child a gift,distant,3468399,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,santa buys the child a gift,un,27203571,,,,,,,,,
,,Un,santa throws the child a gift,un,33343106,,,,,,,,,
,,,,,,,,,,,,,,
11,put,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,The woman puts the food on the table,target,32430052,,M2_Verb_ditransitive_11,,F2_Verb_ditransitive_11,,8,3,1,
,,P1,The woman cuts the food on the table,distant,45021212,,,,,,,,,
,,P2,The woman pushs the food on the table,distant,53351124,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The woman clears the food on the table,coord,6605013,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The woman eats the food on the table,un,16601710,,,,,,,,,
,,Un,The woman decorates the food on the table,un,26721297,,,,,,,,,
,,,,,,,,,,,,,,
12,give,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
