1,blunt,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,a blunt pencil,target,299266625,F1_Adjective_phrase_1,,,M3_Adjective_phrase_1,,5,4,1,
,,P1,a blue pencil,distant,19379533,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a sharp pencil,sem,88520488,,,,,,,,,
,,S2,a broken pencil,sem,55838362,,,,,,,,,
,,Un,a wooden plane,un,280247873,,,,,,,,,
,,Un,a big pencil,un,179722322,,,,,,,,,
,,,,,,,,,,,,,,
2,new,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,his new sock,target,331719209,F1_Adjective_phrase_2,,,M3_Adjective_phrase_2,,8,3,1,
,,P1,his blue sock,mp,157104434,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,his old sock,sem,36244156,,,,,,,,,
,,S2,his torn sock,sem,228626515,,,,,,,,,
,,Un,a tiny pencil,un,267743294,,,,,,,,,
,,Un,his warm sock,un,322340546,,,,,,,,,
,,,,,,,,,,,,,,
3,broken,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,a broken pencil,target,55838362,F1_Adjective_phrase_3,,,M3_Adjective_phrase_3,,7,4,2,
,,P1,a brown pencil,distant,134433206,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a sharp pencil,sem,88520488,,,,,,,,,
,,S2,a blunt pencil,sem,299266625,,,,,,,,,
,,Un,his smelly sock,un,310809407,,,,,,,,,
,,Un,a blue pencil,un,19379533,,,,,,,,,
,,,,,,,,,,,,,,
4,lead,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,a lead pencil,target,88520488,F1_Adjective_phrase_4,,,M3_Adjective_phrase_4,,7,6,1,
,,P1,a red pencil,mp,68541598,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a brown pencil,un,134433206,,,,,,,,,
,,S2,a big pencil,un,179722322,,,,,,,,,
,,Un,a smelly sock,un,310809407,,,,,,,,,
,,Un,a blunt pencil,un,299266625,,,,,,,,,
,,,,,,,,,,,,,,
5,brown,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,a brown pencil,target,134433206,F1_Adjective_phrase_5,,,M3_Adjective_phrase_5,,7,6,1,
,,P1,a round pencil,close,34951825,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a blue pencil,sem,19379533,,,,,,,,,
,,S2,a red pencil,sem,68541598,,,,,,,,,
,,Un,a sharpen pencil,un,88520488,,,,,,,,,
,,Un,a broken pencil,un,55838362,,,,,,,,,
,,,,,,,,,,,,,,
6,sharp,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,a sharp pencil,target,88520488,F1_Adjective_phrase_6,,,M3_Adjective_phrase_6,,7,5,1,
,,P1,a short pencil,distant,267743294,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a blunt pencil,sem,299266625,,,,,,,,,
,,S2,a broken pencil,un,55838362,,,,,,,,,
,,Un,a blue pencil,un,19379533,,,,,,,,,
,,Un,a big pencil,un,179722322,,,,,,,,,
,,,,,,,,,,,,,,
7,round,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,a round pencil,target,34951825,F1_Adjective_phrase_7,,,M3_Adjective_phrase_7,,5,5,1,
,,P1,a brown pencil,close,134433206,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,a red pencil,un,68541598,,,,,,,,,
,,Un,a blue pencil,un,19379533,,,,,,,,,
,,Un,a broken pencil,un,55838362,,,,,,,,,
,,,,,,,,,,,,,,
8,hot,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,,Target,the hot food,target,229226074,F1_Adjective_phrase_8,,,M3_Adjective_phrase_8,,8,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The cold food,sem,32538011,,,,,,,,,
,,S2,the old food,sem,265967048,,,,,,,,,
,,Un,a sharp pencil,un,88520488,,,,,,,,,
,,Un,fire,un,280872665,,,,,,,,,
,,,,,,,,,,,,,,
