1,family,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,the family helps the man get well,target,283136354,M2_Noun_ditransitive_1,F2_Noun_ditransitive_1,,,,8,6,3,
,,P1,x,x,x,,,,,,,,,
,,P2,the fax helps the man get well,distant,238324735,,,,,,,,,
,,P3,the pharmacy helps the man get well,distant,300552995,,,,,,,,,
,,S1,the nurse helps the man get well,coord,395276248,,,,,,,,,
,,S2,the church helps the man get well,coord,8452381,,,,,,,,,
,,Un,the hospital helps the man get well,un,51622749,,,,,,,,,
,,Un,the policeman helps the man get well,un,384619180,,,,,,,,,
,,,,,,,,,,,,,,
5,page,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,he shows him the page,target,373972306,M2_Noun_ditransitive_5,F2_Noun_ditransitive_5,,,,7,7,1,
,,P1,he shows him the cage,mp,247915564,,,,,,,,,
,,P2,he shows him the pen,distant,279891473,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,he shows him the book,assoc,185116097,,,,,,,,,
,,Un,he shows him the money,un,303019673,,,,,,,,,
,,Un,he shows him the bread,un,345059612,,,,,,,,,
,,,,,,,,,,,,,,
6,room,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,he gives the room a clean once a month,target,93715252,M2_Noun_ditransitive_6,F2_Noun_ditransitive_6,,,,8,7,1,
,,P1,he gives the broom a clean once a month,mp,366875036,,,,,,,,,
,,P2,he gives the roof a clean once a month,mp,319361939,,,,,,,,,
,,P3,he gives the rim a clean once a month,mp,226268131,,,,,,,,,
,,S1,he gives the sofa a clean once a month,assoc,39307075,,,,,,,,,
,,S2,he gives the house a clean once a month,coord,72650857,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
8,lad,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,the lad gives him an apple,target,15324910,M2_Noun_ditransitive_8,F2_Noun_ditransitive_8,,,,5,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the dad gives him an apple,mp,216095392,,,,,,,,,
,,P3,the lass gives him an apple,close,25678693,,,,,,,,,
,,S1,the mum gives him an apple,assoc,1149805095,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the women give him an apple,coord,312372986,,,,,,,,,
,,Un,the baby gives him an apple,coord,255225469,,,,,,,,,
,,,,,,,,,,,,,,
A,place,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,she chooses the place for her daughter,target,383121697,M2_Noun_ditransitive_4,F2_Noun_ditransitive_4,,,,8,4,1,1
,,P1,she chooses the lace for her daugther,mp,126154586,,,,,,,,,
,,P2,She chooses the plane for her daughter,mp,183668846,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,she chooses the seat for her daughter,coord,430339984,,,,,,,,,
,,S2,She chooses the pram for her daughter,assoc,361516304,,,,,,,,,
,,Un,she chooses the dress for her daughter,un,241848487,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
