,baby,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the baby,Target,37433095,F2_Noun_phrase_2syll_1,M1_Noun_phrase_2syll_1,,,,8,7,2,
,,P1,the ruby,distant,20550778,,,,,,,,,
,,P2,the berry,distant,384695,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the bottle,assoc,13699445,,,,,,,,,
,,S2,the buggy,assoc,27368260,,,,,,,,,
,,Un,the gold,un,17808023,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,water,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the water,Target,12522351,F2_Noun_phrase_2syll_2,M1_Noun_phrase_2syll_2,,,,8,7,2,
,,P1,the waiter,mp,35510165,,,,,,,,,
,,P2,the letter,distant,47105947,,,,,,,,,
,,P3,the winter,distant,21771130,,,,,,,,,
,,S1,the tap,assoc,649757,,,,,,,,,
,,S2,the juice,assoc,467518,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,garden,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the garden,Target,10630510,F2_Noun_phrase_2syll_3,M1_Noun_phrase_2syll_3,,,,8,7,2,
,,P1,the guardsman,close,159601043,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the shed,assoc,384775804,,,,,,,,,
,,S2,the house,assoc,90784409,,,,,,,,,
,,Un,the soldier,un,29989042,,,,,,,,,
,,Un,the berry,assoc,384695,,,,,,,,,
,,,,,,,,,,,,,,
,office,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the office,Target,111740954,F2_Noun_phrase_2syll_4,M1_Noun_phrase_2syll_4,,,,8,7,2,
,,P1,x,x,x,,,,,,,,,
,,P2,the lettuce,distant,397771522,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the computer,assoc,876153,,,,,,,,,
,,S2,the house,assoc,90784409,,,,,,,,,
,,Un,the tomato,un,32087522,,,,,,,,,
,,Un,the office chair,assoc,306443561,,,,,,,,,
,,,,,,,,,,,,,,
,bedroom,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the bedroom,Target,167662,F2_Noun_phrase_2syll_5,M1_Noun_phrase_2syll_5,,,,8,7,2,
