,baby,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,baby,Target,37433095,,F2_Noun_single_2syll_1,M2_Noun_single_2syll_1,,,8,7,2,
,,P1,ruby,distant,20550778,,,,,,,,,
,,P2,berry,distant,384695,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,bottle,assoc,13699445,,,,,,,,,
,,S2,buggy,assoc,27368260,,,,,,,,,
,,Un,gold,un,17808023,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,water,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,water,Target,12522351,,F2_Noun_single_2syll_2,M2_Noun_single_2syll_2,,,8,7,2,
,,P1,waiter,mp,35510165,,,,,,,,,
,,P2,letter,distant,47105947,,,,,,,,,
,,P3,winter,distant,21771130,,,,,,,,,
,,S1,tap,assoc,649757,,,,,,,,,
,,S2,juice,assoc,467518,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,garden,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,garden,Target,10630510,,F2_Noun_single_2syll_3,M2_Noun_single_2syll_3,,,8,7,2,
,,P1,guardsman,close,159601043,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,shed,assoc,384775804,,,,,,,,,
,,S2,house,assoc,90784409,,,,,,,,,
,,Un,soldier,un,29989042,,,,,,,,,
,,Un,berry,assoc,384695,,,,,,,,,
,,,,,,,,,,,,,,
,office,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,office,Target,111740954,,F2_Noun_single_2syll_4,M2_Noun_single_2syll_4,,,8,7,2,
,,P1,x,x,x,,,,,,,,,
,,P2,lettuce,distant,397771522,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,computer,assoc,876153,,,,,,,,,
,,S2,house,assoc,90784409,,,,,,,,,
,,Un,tomato,un,32087522,,,,,,,,,
,,Un,office chair,assoc,306443561,,,,,,,,,
,,,,,,,,,,,,,,
,bedroom,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,bedroom,Target,167662,,F2_Noun_single_2syll_5,M2_Noun_single_2syll_5,,,8,7,2,
,,P1,bathroom,close,5689075,,,,,,,,,
,,P2,bottom,distant,205590,,,,,,,,,
,,P3,mushroom,distant,65475254,,,,,,,,,
,,S1,living room,coord,51628836,,,,,,,,,
,,S2,bed,assoc,33724414,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,children,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,children,Target,50495386,,F2_Noun_single_2syll_7,M2_Noun_single_2syll_7,,,8,7,2,
,,P1,chilli,distant,23479177,,,,,,,,,
,,P2,chicken,distant,41111999,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,babies,coord,3344491,,,,,,,,,
,,S2,child,assoc,40214306,,,,,,,,,
,,Un,iceberg,un,124451737,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,people,,Linguistic unit,P type,Image ID,Male 1,Female 2,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,people,Target,40296092,,F2_Noun_single_2syll_8,M2_Noun_single_2syll_8,,,8,7,2,
,,P1,pupil,mp,25168917,,,,,,,,,
,,P2,peephole,close,31390926,,,,,,,,,
,,P3,steeple,mp,24659568,,,,,,,,,
,,S1,monkeys,coord,41547559,,,,,,,,,
,,S2,person,assoc,35314865,,,,,,,,,
