1,fly,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,fly,target,781520,F2_Noun_single_1syll_5,M2_Noun_single_1syll_5,,,,7,7,1,,,,,
,,P1,eye,mp,25168917,,,,,,,,,,,,,
,,P2,spy,mp,40871113,,,,,,,,,,,,,
,,P3,tie,mp,193059866,,,,,,,,,,,,,
,,S1,bee,coord,326838527,,,,,,,,,,,,,
,,S2,glasses,coord,40557715,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
2,glass,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,glass,target,10350665,,,M2_Noun_single_1syll_93,F1_Noun_single_1syll_93,,7,7,1,,,,,
,,P1,lass,close,26515435,,,,,,,,,,,,,
,,P2,gas,mp,111186662,,,,,,,,,,,,,
,,P3,glasses,mp,40557715,,,,,,,,,,,,,
,,S1,cup,coord,307023386,,,,,,,,,,,,,
,,S2,pot,coord,257196229,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
3,pound,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,pound,target,248864761,,,M2_Noun_single_1syll_100,F1_Noun_single_1syll_100,,7,7,1,,,,,
,,P1,ground,mp,206066563,,,,,,,,,,,,,
,,P2,hound,mp,213511198,,,,,,,,,,,,,
,,P3,pond,mp,57479839,,,,,,,,,,,,,
,,S1,gold,assoc,17808023,,,,,,,,,,,,,
,,S2,dollar note,coord,236808625,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
4,page,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,page,target,233737690,,,M2_Noun_single_1syll_123,F1_Noun_single_1syll_123,,7,7,1,,,,,
,,P1,age,mp,46801559,,,,,,,,,,,,,
,,P2,stage,mp,33917242,,,,,,,,,,,,,
,,P3,cage,mp,229248175,,,,,,,,,,,,,
,,S1,pen,assoc,251658334,,,,,,,,,,,,,
,,S2,tree,assoc,325608941,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
5,seat,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,seat,target,111217772,,,M2_Noun_single_1syll_130,F1_Noun_single_1syll_130,,7,7,1,,,,,
,,P1,feet,mp,311505614,,,,,,,,,,,,,
,,P2,sheet,mp,5943342,,,,,,,,,,,,,
,,P3,meat,mp,247763509,,,,,,,,,,,,,
,,S1,bed,assoc,33724414,,,,,,,,,,,,,
,,S2,table,assoc,26616139,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,Un,x,x,x,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
6,pig,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,pig,target,182523626,,,M2_Noun_single_1syll_173,F1_Noun_single_1syll_173,,7,7,1,,,,,
,,P1,wig,mp,206133754,,,,,,,,,,,,,
,,P2,pip,mp,321021113,,,,,,,,,,,,,
,,P3,pin,mp,75441568,,,,,,,,,,,,,
,,S1,cow,coord,13624052929,,,,,,,,,,,,,
,,S2,,,,,,,,,,,,,,,,
,,Un,stable,un,168274,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
7,golf,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,golf,target,600023,,,M2_Noun_single_1syll_177,F1_Noun_single_1syll_177,,7,7,1,,,,,
,,P1,cough,close,137335274,,,,,,,,,,,,,
,,P2,wolf,distant,99672713,,,,,,,,,,,,,
,,P3,x,x,x,,,,,,,,,,,,,
,,S1,football net,assoc,7273203,,,,,,,,,,,,,
,,S2,hockey,coord,152248385,,,,,,,,,,,,,
,,Un,gold,un,17808023,,,,,,,,,,,,,
,,Un,x,x,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
8,meal,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,,,,,
,,Target,meal,target,558662512,,,M2_Noun_single_1syll_178,F1_Noun_single_1syll_178,,7,7,1,,,,,
,,P1,steel,mp,248861005,,,,,,,,,,,,,
,,P2,eel,mp,259687829,,,,,,,,,,,,,
,,P3,meat,mp,142786321,,,,,,,,,,,,,
