,lady,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,a silly lady,target,965485123,,F1_Noun_attributive_1,M3_Noun_attributive_1,,,8,6,2,
,,P1,a silly baby,distant,175178822,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a silly girl,coord,214294942,,,,,,,,,
,,S2,a silly boy,coord,350728799,,,,,,,,,
,,Un,a silly man,coord,285860489,,,,,,,,,
,,Un,a silly dog,un,116158192,,,,,,,,,
,,,,,,,,,,,,,,
,bedroom,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,a tidy bedroom,target,167662,,F1_Noun_attributive_2,M3_Noun_attributive_2,,,8,7,2,
,,P1,a tidy bathroom,close,5689075,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a tidy wardrobe,assoc,299755658,,,,,,,,,
,,S2,a tidy bed,assoc,33724414,,,,,,,,,
,,Un,a tidy bookcase,un,196039253,,,,,,,,,
,,Un,a tidy desk,un,123654789,,,,,,,,,
,,,,,,,,,,,,,,
,silver,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the old silver,target,218030857,,F1_Noun_attributive_3,M3_Noun_attributive_3,,,8,7,2,
,,P1,the old sailor,close,302885411,,,,,,,,,
,,P2,the old saucer,distant,33978516,,,,,,,,,
,,P3,the old singer,distant,131682332,,,,,,,,,
,,S1,the old gold,coord,129322343,,,,,,,,,
,,S2,the old coin,assoc,255690187,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,bathroom,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the white bathroom,target,5689075,,F1_Noun_attributive_10,M3_Noun_attributive_10,,,7,7,2,
,,P1,the white bedroom,close,55476448,,,,,,,,,
,,P2,the white bathrobe,close,102381484,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the white kitchen,coord,48976963,,,,,,,,,
,,S2,the white towel,assoc,109079729,,,,,,,,,
,,Un,the white plug,assoc,15494026,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,mushroom,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,a white mushroom,target,65475254,,F1_Noun_attributive_11,M3_Noun_attributive_11,,,5,7,2,
,,P1,a white mansion,distant,70864330,,,,,,,,,
,,P2,a white martian,distant,288909992,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,a white flower,assoc,175481372,,,,,,,,,
,,S2,a white onion,assoc,216613948,,,,,,,,,
,,Un,a white cottage,un,274467731,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,lock,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,an old lock,target,94006342,,F1_Noun_attributive_13,M3_Noun_attributive_13,,,6,7,1,
,,P1,an old sock,mp,228626515,,,,,,,,,
,,P2,an old rock,mp,65489365,,,,,,,,,
,,P3,an old clock,mp,56321485,,,,,,,,,
,,S1,an old key,assoc,308789171,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,an old boot,un,65987226,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,record,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the old record,target,758457845,,F1_Noun_attributive_18,M3_Noun_attributive_18,,,8,6,2,
,,P1,the old keyboard,distant,65485258,,,,,,,,,
,,P2,the old wreck,close,315699206,,,,,,,,,
,,P3,the old cord,close,261276545,,,,,,,,,
,,S1,the old CD,coord,319907015,,,,,,,,,
,,S2,the old radio,assoc,965485,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,art,,Linguistic unit,P type,Image ID,Male 2,Female 1,Male 3,Female 2,,Freq bin,Conc bin,Syllable,
,,Target,the red art,target,280914404,,F1_Noun_attributive_19,M3_Noun_attributive_19,,,8,6,1,
,,P1,the red dart,mp,316629386,,,,,,,,,
