,dart,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the dart flies,target,40075117,F2_Noun_intransitive_4,M1_Noun_intransitive_4,,,,5,7,1,
,,P1,the heart flies,mp,124876381,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the ball flies,coord,11609345,,,,,,,,,
,,S2,the girl flies,un,31684154,,,,,,,,,
,,Un,the bee flies,un,401178718,,,,,,,,,
,,Un,the eagle flies,un,173080265,,,,,,,,,
,,,,,,,,,,,,,,
,lady,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,The lady talks,target,126153506,F2_Noun_intransitive_5,M1_Noun_intransitive_5,,,,8,6,2,
,,P1,The baby talks,distant,23830819,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,The girl talks,coord,132348320,,,,,,,,,
,,S1,The man talks,coord,87275050,,,,,,,,,
,,S2,The boy talks,coord,279289346,,,,,,,,,
,,Un,The dog talks,un,117492673,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,secretary,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the secretary smells,target,224471617,F2_Noun_intransitive_9,M1_Noun_intransitive_9,,,,8,7,4,
,,P1,the settee smells,distant,205068472,,,,,,,,,
,,P2,the cemetry smells,distant,313803443,,,,,,,,,
,,P3,the baker smells,distant,297262874,,,,,,,,,
,,S1,the scientist smells,coord,185616644,,,,,,,,,
,,S2,the chef smells,coord,275973800,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,typewriter,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the typewriter breaks,target,27573228,F2_Noun_intransitive_10,M1_Noun_intransitive_10,,,,4,7,3,
,,P1,x,x,x,,,,,,,,,
,,P2,the lighter breaks,distant,58276510,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the computer breaks,coord,162360833,,,,,,,,,
,,S2,the kettle breaks,coord,68732179,,,,,,,,,
,,Un,the neck breaks,un,187871873,,,,,,,,,
,,Un,the chain breaks,un,220287088,,,,,,,,,
,,,,,,,,,,,,,,
,flower,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the flower smells,target,284183621,F2_Noun_intransitive_13,M1_Noun_intransitive_13,,,,7,7,2,
,,P1,the shower smells,mp,126536075,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the plant smells,coord,258242480,,,,,,,,,
,,S1,the perfume smells,coord,37084003,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the man smells,un,39075599,,,,,,,,,
,,Un,the sock smells,un,310809407,,,,,,,,,
,,,,,,,,,,,,,,
,dome,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the dome freezes,target,65442232,F2_Noun_intransitive_15,M1_Noun_intransitive_15,,,,5,7,1,
,,P1,the home freezes,mp,186442634,,,,,,,,,
,,P2,the gnome freezes,mp,123721669,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the spire freezes,coord,325648667,,,,,,,,,
,,S2,the teepee freezes,coord,170742665,,,,,,,,,
,,Un,the water freezes,un,124451737,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,hammer,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the hammer works,target,151997177,F2_Noun_intransitive_16,M1_Noun_intransitive_16,,,,7,7,2,
,,P1,the hamper works,mp,11339844,,,,,,,,,
,,P2,the hanger works,mp,121274773,,,,,,,,,
,,P3,the scanner works,distant,3322510,,,,,,,,,
,,S1,the saw works,coord,114635122,,,,,,,,,
,,S2,the spanner works,coord,57316192,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,wall,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the wall breaks,target,183061328,F2_Noun_intransitive_18,M1_Noun_intransitive_18,,,,8,7,1,
,,P1,the shawl breaks,mp,196690490,,,,,,,,,
,,P2,the wool breaks,mp,305134916,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the window breaks,coord,1397510,,,,,,,,,
,,S2,the ceiling breaks,coord,129232532,,,,,,,,,
,,Un,the fence breaks,coord,328986,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,record,,Linguistic unit,P type,Image ID,Female 2,Male 1,,,,Freq bin,Conc bin,Syllable,
,,Target,the record plays,target,27178933,F2_Noun_intransitive_19,M1_Noun_intransitive_19,,,,8,6,2,
,,P1,the radio plays,distant,228937378,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the CD plays,coord,115862080,,,,,,,,,
,,S2,the tape plays,coord,155382872,,,,,,,,,
,,Un,the phone plays,un,117492673,,,,,,,,,
,,Un,the headphones play,un,162386480,,,,,,,,,
,,,,,,,,,,,,,,
