1,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,food,Target,his food is tasty,target,183077327,F1_Pronoun_posssentence_1,,M3_Pronoun_posssentence_1,,,8,8,1,0
,,Foil 1,her food is tasty,female,240210358,,,,,,,,,
,,Foil 2,their food is tasty,plural,207786421,,,,,,,,,
,,other,the cake is tasty,un,1684878,,,,,,,,,
,,other,the vegetable is tasty,un,35749240,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,water,Target,his water is refreshing,target,40568100,F1_Pronoun_posssentence_2,,M3_Pronoun_posssentence_2,,,8,8,2,
,,Foil 1,her water is refreshing,female,42316112,,,,,,,,,
,,Foil 2,their water is refreshing,plural,265464623,,,,,,,,,
,,other,water,un,12522351,,,,,,,,,
,,other,waterfall,un,262980617,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,bug,Target,his bug is horrid,target,107912372,F1_Pronoun_posssentence_3,,M3_Pronoun_posssentence_3,,,7,8,1,
,,Foil 1,her bug is horrid,female,209183563,,,,,,,,,
,,Foil 2,their bug is horrid,plural,16531051,,,,,,,,,
,,other,horrid bug,un,49532590,,,,,,,,,
,,other,lovely bug,un,172181477,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,hat,Target,his hat is warm,target,28666396,F1_Pronoun_posssentence_4,,M3_Pronoun_posssentence_4,,,8,8,1,
,,Foil 1,her hat is warm,female,125317343,,,,,,,,,
,,Foil 2,their hat is warm,plural,118708237,,,,,,,,,
,,other,the hat is warm,un,29252820,,,,,,,,,
,,other,the crown is warm,un,37385332,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,grandchild,Target,his grandchild is healthy,target,293835122,F1_Pronoun_posssentence_5,,M3_Pronoun_posssentence_5,,,5,6,2,
,,Foil 1,her grandchild is healthy,female,200417396,,,,,,,,,
,,Foil 2,their grandchild is healthy,plural,280360607,,,,,,,,,
,,other,grandchild healthy,un,17985635,,,,,,,,,
,,other,rocking chair,un,3436172,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,brush,Target,his brush is soft,target,290631104,F1_Pronoun_posssentence_6,,M3_Pronoun_posssentence_6,,,7,8,1,
,,Foil 1,her brush is soft,female,268385192,,,,,,,,,
,,Foil 2,their brush is soft,plural,250769230,,,,,,,,,
,,other,brush,un,29554881,,,,,,,,,
,,other,comb,un,207145168,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 3,,,Freq bin,Conc bin,Syllable,
,dog,Target,his dog is friendly,target,291064715,F1_Pronoun_posssentence_7,,M3_Pronoun_posssentence_7,,,8,8,1,
,,Foil 1,her dog  is friendly,female,31857694,,,,,,,,,
