1,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,food,Target,his food,target,183077327,,F2_Pronoun_possessive_1,,M3_Pronoun_possessive_1,,8,8,1,0
,,Foil 1,her food,female,240210358,,,,,,,,,
,,Foil 2,their food,plural,207786421,,,,,,,,,
,,Other,food,un,1684878,,,,,,,,,
,,Other,vegetables,un,35749240,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,bug,target,his bug,target,107912372,,F2_Pronoun_possessive_2,,M3_Pronoun_possessive_2,,7,8,1,
,,foil 1,her bug,female,209183563,,,,,,,,,
,,foil 2,their bug,plural,16531051,,,,,,,,,
,,other,bug,un,49532590,,,,,,,,,
,,other,bug,un,172181477,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,cup,Target,his cup,target,45209191,,F2_Pronoun_possessive_3,,M3_Pronoun_possessive_3,,6,8,1,
,,Foil 1,her cup,female,79587922,,,,,,,,,
,,Foil 2,their cup,plural,195169763,,,,,,,,,
,,Other,huge cup,un,209171185,,,,,,,,,
,,Other,small cup,un,61468480,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,water,target,his water,target,40568100,,F2_Pronoun_possessive_4,,M3_Pronoun_possessive_4,,8,8,2,
,,foil 1,her water,female,42316112,,,,,,,,,
,,foil 2,their water,plural,265464623,,,,,,,,,
,,other,water,un,12522351,,,,,,,,,
,,other,waterfall,un,262980617,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,hat,Target,his hat,target,28666396,,F2_Pronoun_possessive_5,,M3_Pronoun_possessive_5,,8,8,1,
,,Foil 1,her hat,female,125317343,,,,,,,,,
,,Foil 2,their hat,plural,118708237,,,,,,,,,
,,Other,hat and gloves,un,29252820,,,,,,,,,
,,Other,crown,un,37385332,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,grandchildren,Target,his grandchild,target,293835122,,F2_Pronoun_possessive_6,,M3_Pronoun_possessive_6,,7,7,3,
,,Foil 1,her grandchild,female,200417396,,,,,,,,,
,,Foil 2,their grandchild,plural,280360607,,,,,,,,,
,,Other,grandchild,un,17985635,,,,,,,,,
,,Other,rocking chair,un,3436172,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,brush,Target,his brush,target,290631104,,F2_Pronoun_possessive_7,,M3_Pronoun_possessive_7,,7,8,1,
,,Foil 1,her brush,female,268385192,,,,,,,,,
,,Foil 2,their brush,plural,250769230,,,,,,,,,
,,Other,brush,un,29554881,,,,,,,,,
,,Other,comb,un,207145168,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,dog,Target,his dog,target,291064715,,F2_Pronoun_possessive_8,,M3_Pronoun_possessive_8,,8,8,1,
,,Foil 1,her dog,female,31857694,,,,,,,,,
,,Foil 2,their dog,plural,25118204,,,,,,,,,
,,Other,dog,un,104241857,,,,,,,,,
,,Other,dog,un,175510841,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,bag,Target,his bag,target,54626915,,F2_Pronoun_possessive_9,,M3_Pronoun_possessive_9,,8,8,1,
,,Foil 1,her bag,female,32278607,,,,,,,,,
,,Foil 2,their bag,plural,152086250,,,,,,,,,
,,Other,bag,un,92516332,,,,,,,,,
,,Other,bag,un,6355906,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,icecream,Target,his icecream,target,285189374,,F2_Pronoun_possessive_10,,M3_Pronoun_possessive_10,,2,7,2,
,,Foil 1,her icecream,female,103353431,,,,,,,,,
,,Foil 2,their icecream,plural,121977184,,,,,,,,,
,,Other,icecream,un,115520299,,,,,,,,,
,,Other,ice lolly,un,289592339,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,child,Target,his child,target,42635120,,F2_Pronoun_possessive_11,,M3_Pronoun_possessive_11,,8,8,2,
,,Foil 1,her child,female,20327430,,,,,,,,,
,,Foil 2,their child,plural,205039681,,,,,,,,,
,,Other,child,un,298044821,,,,,,,,,
,,Other,child,un,125834756,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,his,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,tissue,Target,his tissue,target,47099760,,F2_Pronoun_possessive_12,,M3_Pronoun_possessive_12,,6,8,2,
,,Foil 1,her tissue,female,29925193,,,,,,,,,
,,Foil 2,their tissue,plural,331056320,,,,,,,,,
,,Other,tissue,un,140848453,,,,,,,,,
,,Other,toilet roll,un,36214166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,food,Target,their food,target,207786421,,F2_Pronoun_possessive_14,,M3_Pronoun_possessive_14,,8,8,1,
,,Foil 1,his food,male,183077327,,,,,,,,,
,,Foil 2,her food,female,240210358,,,,,,,,,
,,Other,food,un,1684878,,,,,,,,,
,,Other,vegetables,un,35749240,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,bug,target,their bug,target,16531051,,F2_Pronoun_possessive_15,,M3_Pronoun_possessive_15,,7,8,1,
,,foil 1,his bug,male,107912372,,,,,,,,,
,,foil 2,her bug,female,209183563,,,,,,,,,
,,other,bug,un,49532590,,,,,,,,,
,,other,bug,un,172181477,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,cup,Target,their cup,target,195169763,,F2_Pronoun_possessive_16,,M3_Pronoun_possessive_16,,6,8,1,
,,Foil 1,his cup,male,45209191,,,,,,,,,
,,Foil 2,her cup,female,79587922,,,,,,,,,
,,Other,huge cup,un,209171185,,,,,,,,,
,,Other,small cup,un,61468480,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,water,target,their water,target,265464623,,F2_Pronoun_possessive_17,,M3_Pronoun_possessive_17,,8,8,2,
,,foil 1,his water,male,40568100,,,,,,,,,
,,foil 2,her water,female,42316112,,,,,,,,,
,,other,water,un,12522351,,,,,,,,,
,,other,waterfall,un,262980617,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,hat,Target,their hat,target,118708237,,F2_Pronoun_possessive_18,,M3_Pronoun_possessive_18,,8,8,1,
,,Foil 1,his hat,male,28666396,,,,,,,,,
,,Foil 2,her hat,female,125317343,,,,,,,,,
,,Other,hat and gloves,un,29252820,,,,,,,,,
,,Other,crown,un,37385332,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,grandchildren,Target,their grandchild,target,280360607,,F2_Pronoun_possessive_19,,M3_Pronoun_possessive_19,,7,7,3,
,,Foil 1,his grandchild,male,293835122,,,,,,,,,
,,Foil 2,her grandchild,female,200417396,,,,,,,,,
,,Other,grandchild,un,17985635,,,,,,,,,
,,Other,rocking chair,un,3436172,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,brush,Target,their brush,target,250769230,,F2_Pronoun_possessive_20,,M3_Pronoun_possessive_20,,7,8,1,
,,Foil 1,his brush,male,290631104,,,,,,,,,
,,Foil 2,her brush,female,268385192,,,,,,,,,
,,Other,brush,un,29554881,,,,,,,,,
,,Other,comb,un,207145168,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,their,,Linguistic unit,P type,Image ID,Female 1,Female 2,Male 1,Male 3,,Freq bin,Conc bin,Syllable,
,dog,Target,their dog,target,25118204,,F2_Pronoun_possessive_21,,M3_Pronoun_possessive_21,,8,8,1,
,,Foil 1,his dog,male,291064715,,,,,,,,,
,,Foil 2,her dog,female,31857694,,,,,,,,,
,,Other,dog,un,104241857,,,,,,,,,
,,Other,dog,un,175510841,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
