1,run,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was running,target,223035967,F1_Tense_progressive_1,M3_Tense_progressive_1,,,,5,3,1,0
,,Foil 1,he is running,present,98478128,,,,,,,,,
,,Foil 1,he will be running,future,7854577,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2,cycle,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was cycling,target,184460225,F1_Tense_progressive_2,M3_Tense_progressive_2,,,,1,4,2,
,,Foil 1,he is cycling,present,311342414,,,,,,,,,
,,Foil 1,he will be cycling,future,294504578,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
3,eat,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was eating,target,2256795,F1_Tense_progressive_3,M3_Tense_progressive_3,,,,5,3,1,
,,Foil 1,he is eating,present,322932869,,,,,,,,,
,,Foil 2,he will be eating,future,322563788,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
4,drink,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was drinking,target,155377928,F1_Tense_progressive_4,M3_Tense_progressive_4,,,,3,3,1,
,,Foil 1,he is drinking,present,19031322,,,,,,,,,
,,Foil 2,he will be drinking,future,48997504,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
5,swim,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was swimming,target,49643128,F1_Tense_progressive_5,M3_Tense_progressive_5,,,,3,3,1,
,,Foil 1,he is swimming,present,142342759,,,,,,,,,
,,Foil 2,he will be swimming,future,44352166,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
6,ski,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she was skiing,target,228934687,F1_Tense_progressive_6,M3_Tense_progressive_6,,,,1,4,1,
,,Foil 1,she is skiing,present,127158875,,,,,,,,,
,,Foil 2,she will be skiing,future,280728410,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
7,paint,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,she was painting,target,286392914,F1_Tense_progressive_7,M3_Tense_progressive_7,,,,4,4,1,
,,Foil 1,she is painting,present,5985495,,,,,,,,,
,,Foil 2,she will be painting,future,249383818,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
8,carry,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was carrying,target,73084216,F1_Tense_progressive_8,M3_Tense_progressive_8,,,,4,3,2,
,,Foil 1,he is carrying,present,310633880,,,,,,,,,
,,Foil 2,he will be carrying,future,181414709,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
9,lick,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he was licking,target,987661,F1_Tense_progressive_9,M3_Tense_progressive_9,,,,2,4,1,
,,Foil 1,he is licking,present,12805333,,,,,,,,,
,,Foil 2,he will be licking,future,47401462,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
10,run,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
,,Target,he is running,target,98478128,F1_Tense_progressive_10,M3_Tense_progressive_10,,,,5,3,1,
,,Foil 1,he was running,past,223035967,,,,,,,,,
,,Foil 2,he will be running,future,7854577,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
11,cycle,,Linguistic unit,P type,Image ID,Female 1,Male 3,,,,Freq bin,Conc bin,Syllable,
