1,move,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the cow moves,target,138694658,F1_Verb_intransitive_1,,M3_Verb_intransitive_1,,,8,4,1,
,,P1,the cow moos,mp,138875060,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the cow stands,assoc,226625173,,,,,,,,,
,,S2,the cow sniffs,un,4114507999,,,,,,,,,
,,Un,the cow rests,un,152862614,,,,,,,,,
,,Un,the cow grazes,un,13624052929,,,,,,,,,
,,,,,,,,,,,,,,
3,run,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the man runs,target,98478128,F1_Verb_intransitive_3,,M3_Verb_intransitive_3,,,8,6,1,
,,P1,the man drums,distant,278138576,,,,,,,,,
,,P2,the man strums,distant,252976438,,,,,,,,,
,,P3,the man rubs,mp,264260948,,,,,,,,,
,,S1,the man stretches,assoc,40277707,,,,,,,,,
,,S2,the man walks,coord,46941883,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
4,cycle,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the girl cycles,target,164236085,F1_Verb_intransitive_4,,M3_Verb_intransitive_4,,,4,7,2,
,,P1,the girl recycles,close,195090890,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the girl skates,coord,161112296,,,,,,,,,
,,S2,the girl skateboards,coord,142829050,,,,,,,,,
,,Un,the girl swings,un,49071878,,,,,,,,,
,,Un,the girl drinks,un,26841648,,,,,,,,,
,,,,,,,,,,,,,,
5,recycle,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the girl recycles,target,195090890,F1_Verb_intransitive_5,,M3_Verb_intransitive_5,,,5,3,3,
,,P1,the girl cycles,close,164236085,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the girl skates,un,161112296,,,,,,,,,
,,S2,the girl skateboards,un,142829050,,,,,,,,,
,,Un,the girl rakes,un,161480588,,,,,,,,,
,,Un,the girl cleans,un,244549678,,,,,,,,,
,,,,,,,,,,,,,,
7,fly,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the boy flies,target,323376614,F1_Verb_intransitive_7,,M3_Verb_intransitive_7,,,7,7,1,
,,P1,the boy cries,mp,332187713,,,,,,,,,
,,P2,the boy spies,mp,305250251,,,,,,,,,
,,P3,the boy fries,mp,7649269,,,,,,,,,
,,S1,the boy jumps,assoc,11720221,,,,,,,,,
,,S2,the boy dives,assoc,100328420,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
8,fall,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,The boy falls,target,272486237,F1_Verb_intransitive_8,,M3_Verb_intransitive_8,,,8,6,1,
,,P1,The boy calls,mp,54665866,,,,,,,,,
,,P2,The boy crawls,mp,303112247,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the boy flies,coord,323376614,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the boy walks,un,45100279,,,,,,,,,
,,Un,the boy sits,un,45100270,,,,,,,,,
,,,,,,,,,,,,,,
11,look,,Linguistic unit,P type,Image ID,Female 1,Male 2,Male 3,Female 2,Female 3,Freq bin,Conc bin,Syllable,
,,Target,the woman looks,target,695458541,F1_Verb_intransitive_11,,M3_Verb_intransitive_11,,,8,3,1,
