,lady,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the lady uses the phone,target,126153506,M1_Noun_transitivebeg_2,,F2_Noun_transitivebeg_2,,,8,6,2,0
,,P1,the baby uses the phone,distant,23830819,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the girl uses the phone,coord,132348320,,,,,,,,,
,,S2,the man uses the phone,coord,87275050,,,,,,,,,
,,Un,the boy uses the phone,coord,279289346,,,,,,,,,
,,Un,the dog uses the phone,un,117492673,,,,,,,,,
,,,,,,,,,,,,,,
,cart,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the cart carries the dog,target,286018523,M1_Noun_transitivebeg_3,,F2_Noun_transitivebeg_3,,,5,7,1,
,,P1,the car carries the dog,mp,209412904,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,the scooter carries the dog,coord,174700670,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the woman carries the dog,un,242797159,,,,,,,,,
,,Un,the boy carries the dog,un,291064715,,,,,,,,,
,,,,,,,,,,,,,,
,court,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
,,Target,the court makes the rules,target,243765985,M1_Noun_transitivebeg_5,,F2_Noun_transitivebeg_5,,,8,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,x,x,x,,,,,,,,,
,,P3,the prison make the rules,coord,121491379,,,,,,,,,
,,S1,the church makes the rules,coord,126543428,,,,,,,,,
,,S2,the queen makes the rules,coord,40450855,,,,,,,,,
,,Un,the mother makes the rules,coord,25033769,,,,,,,,,
,,Un,the boss makes the rules,coord,44182813,,,,,,,,,
,,,,,,,,,,,,,,
,dart,,Linguistic unit,P type,Image ID,Male 1,Male 2,Female 2,,,Freq bin,Conc bin,Syllable,
