1,family,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,the family helps the man get well,target,283136354,M2_Noun_ditransitive_1,F2_Noun_ditransitive_1,,,,8,6,3,
,,P1,x,x,x,,,,,,,,,
,,P2,the fax helps the man get well,distant,238324735,,,,,,,,,
,,P3,the pharmacy helps the man get well,distant,300552995,,,,,,,,,
,,S1,the nurse helps the man get well,coord,395276248,,,,,,,,,
,,S2,the church helps the man get well,coord,8452381,,,,,,,,,
,,Un,the hospital helps the man get well,un,51622749,,,,,,,,,
,,Un,the policeman helps the man get well,un,384619180,,,,,,,,,
,,,,,,,,,,,,,,
5,page,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,he shows him the page,target,373972306,M2_Noun_ditransitive_5,F2_Noun_ditransitive_5,,,,7,7,1,
,,P1,he shows him the cage,mp,247915564,,,,,,,,,
,,P2,he shows him the pen,distant,279891473,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,he shows him the book,assoc,185116097,,,,,,,,,
,,Un,he shows him the money,un,303019673,,,,,,,,,
,,Un,he shows him the bread,un,345059612,,,,,,,,,
,,,,,,,,,,,,,,
6,room,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,he gives the room a clean once a month,target,93715252,M2_Noun_ditransitive_6,F2_Noun_ditransitive_6,,,,8,7,1,
,,P1,he gives the broom a clean once a month,mp,366875036,,,,,,,,,
,,P2,he gives the roof a clean once a month,mp,319361939,,,,,,,,,
,,P3,he gives the rim a clean once a month,mp,226268131,,,,,,,,,
,,S1,he gives the sofa a clean once a month,assoc,39307075,,,,,,,,,
,,S2,he gives the house a clean once a month,coord,72650857,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
8,lad,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,the lad gives him an apple,target,15324910,M2_Noun_ditransitive_8,F2_Noun_ditransitive_8,,,,5,6,1,
,,P1,x,x,x,,,,,,,,,
,,P2,the dad gives him an apple,mp,216095392,,,,,,,,,
,,P3,the lass gives him an apple,close,25678693,,,,,,,,,
,,S1,the mum gives him an apple,assoc,1149805095,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the women give him an apple,coord,312372986,,,,,,,,,
,,Un,the baby gives him an apple,coord,255225469,,,,,,,,,
,,,,,,,,,,,,,,
B,drain,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,she gives the drain a clean,target,207763012,M2_Noun_ditransitive_7,F2_Noun_ditransitive_7,,,,6,7,1,
,,P1,she gives the mane a clean,mp,348246719,,,,,,,,,
,,P2,she gives the chain a clean,mp,155461550,,,,,,,,,
,,P3,she gives the train a clean,mp,122583805,,,,,,,,,
,,S1,she gives the tap a clean,assoc,137902229,,,,,,,,,
,,S2,she gives the sink a clean,assoc,306279218,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
B,meeting,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,the meeting satisfies the man needs,target,345947957,M2_Noun_ditransitive_2,F2_Noun_ditransitive_2,,,,8,4,2,
,,P1,the heating satisfies the mans needs,mp,270362435,,,,,,,,,
,,P2,the seating satisfies the man needs,mp,336721052,,,,,,,,,
,,P3,the meat satisfies the mans needs,close,117653257,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,the bed satisfies the mans needs,un,51622749,,,,,,,,,
,,Un,the water satisfies the mans needs,un,302714480,,,,,,,,,
,,,,,,,,,,,,,,
B,plan,,Linguistic unit,P type,Image ID,Male 2,Female 2,,,,Freq bin,Conc bin,Syllable,
,,Target,the woman shows them the plan,target,313910312,M2_Noun_ditransitive_3,F2_Noun_ditransitive_3,,,,8,4,1,1
,,P1,x,x,x,,,,,,,,,
,,P2,the woman shows them the pan,mp,21120155353,,,,,,,,,
,,P3,the woman shows them the man,mp,149160560,,,,,,,,,
,,S1,the woman shows them the idea,coord,372654067,,,,,,,,,
,,S2,the woman shows them the picture,assoc,51287407,,,,,,,,,
,,Un,the woman shows them the girl,un,43827762958,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
