,ball,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The ball,target,66600742,F2_Noun_phrase_1syll_1,M1_Noun_phrase_1syll_1,,,,8,7,1,
,,P1,The wall,mp,637571,,,,,,,,,
,,P2,The bell,mp,941501,,,,,,,,,
,,P3,The bull,mp,156005849,,,,,,,,,
,,S1,The net,assoc,4675954,,,,,,,,,
,,S2,The bat,assoc,18570298,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,bed,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The bed,target,33724414,F2_Noun_phrase_1syll_2,M1_Noun_phrase_1syll_2,,,,8,7,1,
,,P1,The bread,mp,50853980,,,,,,,,,
,,P2,The shed,mp,384775804,,,,,,,,,
,,P3,The head,mp,6476493,,,,,,,,,
,,S1,The pyjamas,assoc,22391895,,,,,,,,,
,,S2,The pillow,assoc,33505055,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,fish,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The fish,target,43919281,F2_Noun_phrase_1syll_3,M1_Noun_phrase_1syll_3,,,,8,7,1,
,,P1,The fist,mp,14094666,,,,,,,,,
,,P2,The dish,mp,40776951,,,,,,,,,
,,P3,The wish,mp,298189988,,,,,,,,,
,,S1,The chips,assoc,37659009,,,,,,,,,
,,S2,The crab,coord,38324722,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,house,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,a house,target,90784409,F2_Noun_phrase_1syll_4,M1_Noun_phrase_1syll_4,,,,8,7,1,
,,P1,a horse,mp,5685458,,,,,,,,,
,,P2,a mouse,mp,38857743,,,,,,,,,
,,P3,a hearse,mp,14133649,,,,,,,,,
,,S1,a garage,assoc,42606184,,,,,,,,,
,,S2,a shed,assoc,384775804,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,fly,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the fly,target,781520,F2_Noun_phrase_1syll_5,M1_Noun_phrase_1syll_5,,,,7,7,1,
,,P1,the eye,mp,25168917,,,,,,,,,
,,P2,the spy,mp,40871113,,,,,,,,,
,,P3,the tie,mp,193059866,,,,,,,,,
,,S1,the bee,coord,326838527,,,,,,,,,
,,S2,the glasses,coord,40557715,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,men,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The men,target,230644264,F2_Noun_phrase_1syll_6,M1_Noun_phrase_1syll_6,,,,8,7,1,
,,P1,The hen,mp,159430508,,,,,,,,,
,,P2,The pen,mp,42632431,,,,,,,,,
,,P3,The ten,mp,150102242,,,,,,,,,
,,S1,The women,assoc,309289829,,,,,,,,,
,,S2,The car,assoc,323450258,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,book,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,a book,target,17580496,F2_Noun_phrase_1syll_7,M1_Noun_phrase_1syll_7,,,,8,7,1,
,,P1,a hook,mp,47122173,,,,,,,,,
,,P2,a beak,mp,4675194,,,,,,,,,
,,P3,a back,mp,174531992,,,,,,,,,
,,S1,a newspaper,coord,5673755,,,,,,,,,
,,S2,a menu,coord,39808052,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,face,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the face,target,7317010,F2_Noun_phrase_1syll_12,M1_Noun_phrase_1syll_12,,,,8,7,1,
,,P1,the lace,mp,65485245,,,,,,,,,
,,P2,the space,mp,12645088,,,,,,,,,
,,P3,the race,mp,115338595,,,,,,,,,
,,S1,the lips,assoc,16776497,,,,,,,,,
,,S2,the hair,assoc,41395810,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,wall,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,a wall,target,637571,F2_Noun_phrase_1syll_14,M1_Noun_phrase_1syll_14,,,,8,7,1,
,,P1,a ball,mp,66600742,,,,,,,,,
,,P2,a wheel,mp,18144860,,,,,,,,,
,,P3,a wart,mp,88954987,,,,,,,,,
,,S1,a brick,assoc,45246316,,,,,,,,,
,,S2,a fence,coord,465975,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,lock,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the lock,target,94006342,F2_Noun_phrase_1syll_23,M1_Noun_phrase_1syll_23,,,,6,7,1,
,,P1,the sock,mp,24704315,,,,,,,,,
,,P2,the rock,mp,65489365,,,,,,,,,
,,P3,the clock,mp,56321485,,,,,,,,,
,,S1,x,x,x,,,,,,,,,
,,S2,the key,assoc,308789171,,,,,,,,,
,,Un,a shoe,un,659865412,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,neck,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The neck,target,282239075,F2_Noun_phrase_1syll_31,M1_Noun_phrase_1syll_31,,,,8,7,1,
,,P1,The cheque,mp,19381165,,,,,,,,,
,,P2,The wreck,mp,315699206,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The necklace,coord,18132728,,,,,,,,,
,,S2,The ankle,coord,112950334,,,,,,,,,
,,Un,The scarf,subord,325418279,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,guy,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the guy,target,35314865,F2_Noun_phrase_1syll_36,M1_Noun_phrase_1syll_36,,,,8,7,1,
,,P1,the tie,mp,193059866,,,,,,,,,
,,P2,the pie,mp,32863584,,,,,,,,,
,,P3,the eye,mp,59092591,,,,,,,,,
,,S1,the girl,coord,194852984,,,,,,,,,
,,S2,the woman,coord,321504251,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,cart,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,her cart,target,286018523,F2_Noun_phrase_1syll_43,M1_Noun_phrase_1syll_43,,,,5,7,1,
,,P1,her dart,mp,316629386,,,,,,,,,
,,P2,her car,mp,9545845848,,,,,,,,,
,,P3,her heart,mp,122500636,,,,,,,,,
,,S1,her sleigh,coord,347903189,,,,,,,,,
,,S2,her scooter,coord,268782068,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,court,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The court,target,243765985,F2_Noun_phrase_1syll_45,M1_Noun_phrase_1syll_45,,,,8,6,1,
,,P1,The fort,mp,246807172,,,,,,,,,
,,P2,The wart,mp,88954987,,,,,,,,,
,,P3,The prison,coord,152469683,,,,,,,,,
,,S1,The church,coord,24842270,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The verucca,un,148362407,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,strike,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The strike,target,172445237,F2_Noun_phrase_1syll_46,M1_Noun_phrase_1syll_46,,,,7,4,1,
,,P1,The trike,mp,309310754,,,,,,,,,
,,P2,The stroke,mp,39201994,,,,,,,,,
,,P3,The stripe,mp,24704315,,,,,,,,,
,,S1,The bike,mp,325745795,,,,,,,,,
,,S2,The goal,coord,201975412,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,bush,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The bush,target,270854237,F2_Noun_phrase_1syll_49,M1_Noun_phrase_1syll_49,,,,6,7,1,
,,P1,The bull,close,156005849,,,,,,,,,
,,P2,The brush,mp,29554881,,,,,,,,,
,,P3,The bus,mp,64567547654,,,,,,,,,
,,S1,The tree,coord,34873670,,,,,,,,,
,,S2,x,x,x,,,,,,,,,
,,Un,The cow,un,215176945,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,gold,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The gold,target,17808023,F2_Noun_phrase_1syll_53,M1_Noun_phrase_1syll_53,,,,8,7,1,
,,P1,The cold,mp,28666396,,,,,,,,,
,,P2,The mould,mp,265967048,,,,,,,,,
,,P3,the goal,mp,201975412,,,,,,,,,
,,S1,The silver,assoc,218030857,,,,,,,,,
,,S2,The money,assoc,236808625,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,child,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The child,target,153350132,F2_Noun_phrase_1syll_55,M1_Noun_phrase_1syll_55,,,,8,7,1,
,,P1,The  chive,distant,252721840,,,,,,,,,
,,P2,The chin,distant,38230510,,,,,,,,,
,,S1,The pram,assoc,80317405,,,,,,,,,
,,S2,The scooter,assoc,69539644,,,,,,,,,
,,S3,the adult,coord,32511024,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,art,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,her art,target,280914404,F2_Noun_phrase_1syll_56,M1_Noun_phrase_1syll_56,,,,8,6,1,
,,P1,her dart,mp,316629386,,,,,,,,,
,,P2,her cart,mp,286018523,,,,,,,,,
,,P3,her heart,mp,122500636,,,,,,,,,
,,S1,her paintbrush,assoc,93580291,,,,,,,,,
,,S2,her paintjar,assoc,308875283,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,room,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The room,target,167662,F2_Noun_phrase_1syll_57,M1_Noun_phrase_1syll_57,,,,8,7,1,
,,P1,The broom,mp,71680558,,,,,,,,,
,,P2,The roof,mp,106637366,,,,,,,,,
,,P3,The root,mp,104458295,,,,,,,,,
,,S1,The sofa,assoc,14352447,,,,,,,,,
,,S2,The bathroom,assoc,5689075,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,food,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The food,target,19579305,F2_Noun_phrase_1syll_64,M1_Noun_phrase_1syll_64,,,,8,7,1,
,,P1,The foot,close,700001,,,,,,,,,
,,P2,The brood,mp,319643144,,,,,,,,,
,,P3,x,x,x,,,,,,,,,
,,S1,The fork,assoc,128536343,,,,,,,,,
,,S2,The drink,assoc,12522351,,,,,,,,,
,,Un,The wine,un,242159350,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,sea,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The sea,target,341825012,F2_Noun_phrase_1syll_67,M1_Noun_phrase_1syll_67,,,,8,7,1,
,,P1,The tea,mp,33978516,,,,,,,,,
,,P2,The bee,mp,326838527,,,,,,,,,
,,P3,The key,mp,27229660,,,,,,,,,
,,S1,The boat,assoc,242000377,,,,,,,,,
,,S2,The seashell,assoc,50806008,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,film,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,The film,target,101597905,F2_Noun_phrase_1syll_69,M1_Noun_phrase_1syll_69,,,,8,7,1,
,,P1,The kiln,close,72827977,,,,,,,,,
,,P2,the flame,distant,229764619,,,,,,,,,
,,P3,the field,distant,110470019,,,,,,,,,
,,S3,The camcorder,assoc,172659737,,,,,,,,,
,,S4,The stage,assoc,149938298,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,dart,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,her dart,target,316629386,F2_Noun_phrase_1syll_74,M1_Noun_phrase_1syll_74,,,,5,7,1,
,,P1,her art,mp,280914404,,,,,,,,,
,,P2,her cart,mp,286018523,,,,,,,,,
,,P3,her heart,mp,122500636,,,,,,,,,
,,S1,her bat,coord,18570298,,,,,,,,,
,,S2,dartboard,assoc,257619844,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,throne,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the throne,target,214078708,F2_Noun_phrase_1syll_78,M1_Noun_phrase_1syll_78,,,,6,7,1,
,,P1,the home,mp,274467731,,,,,,,,,
,,P2,the gnome,mp,163246046,,,,,,,,,
,,P3,the foam,mp,74189155,,,,,,,,,
,,S1,the chair,coord,280158311,,,,,,,,,
,,S2,the crown,coord,37385332,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,dome,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the dome,target,65442232,F2_Noun_phrase_1syll_79,M1_Noun_phrase_1syll_79,,,,5,7,1,
,,P1,the home,mp,274467731,,,,,,,,,
,,P2,the gnome,mp,163246046,,,,,,,,,
,,P3,the foam,mp,74189155,,,,,,,,,
,,S1,the spire,coord,24842270,,,,,,,,,
,,S2,the teepee,coord,170742665,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,shore,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the shore,target,123456,F2_Noun_phrase_1syll_82,M1_Noun_phrase_1syll_82,,,,6,7,1,
,,P1,the door,mp,21225938,,,,,,,,,
,,P2,the paw,mp,308580296,,,,,,,,,
,,P3,the floor,mp,265076531,,,,,,,,,
,,S1,the boat,coord,157824602,,,,,,,,,
,,S2,the river,coord,444242,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,Un,x,x,x,,,,,,,,,
,,,,,,,,,,,,,,
,glass,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the glass,target,10350665,,M1_Noun_phrase_1syll_93,,F1_Noun_phrase_1syll_93,,7,7,1,
,,P1,the lass,close,26515435,,,,,,,,,
,,P2,the gas,mp,111186662,,,,,,,,,
,,P3,the glasses,mp,40557715,,,,,,,,,
,,S1,he tcup,coord,307023386,,,,,,,,,
,,S2,the pot,coord,257196229,,,,,,,,,
,,Un,x,x,,,,,,,,,,
,,Un,x,x,,,,,,,,,,
,,,,,,,,,,,,,,
,cook,,Linguistic unit,P type,Image ID,Female 2,Male 1,Male 2,Female 1,,Freq bin,Conc bin,Syllable,
,,Target,the cook,target,34013737,,M1_Noun_phrase_1syll_94,,F1_Noun_phrase_1syll_94,,8,6,1,
,,P1,the hook,mp,115061263,,,,,,,,,
,,P2,the look,mp,31523628,,,,,,,,,
,,P3,the book,mp,96598565,,,,,,,,,
,,S1,the kitchen,assoc,243653452,,,,,,,,,
,,S2,the apron,assoc,271123571,,,,,,,,,
